"No","Column Name","Line No","Line Length","Intersection Grids","No Points","Points"
"","Total Line Length","=","1.54605937676654","","",""
"47","m1 150 mm","","","","",""
"","","Line 2-1","0.77","","",""
"","","Line 2-2","0.77","","",""
"","Total Line Length","=","1.54605937676654","","",""
"48","m1 150 mm","","","","",""
"","","Line 2-1","0.77","","",""
"","","Line 2-2","0.77","","",""
"","Total Line Length","=","1.54605937676654","","",""
"49","m1 150 mm","","","","",""
"","","Line 2-1","0.77","","",""
"","","Line 2-2","0.77","","",""
"","Total Line Length","=","1.54605937676654","","",""
"50","m1 150 mm","","","","",""
"","","Line 2-1","0.77","","",""
"","","Line 2-2","0.77","","",""
"","Total Line Length","=","1.54605937676654","","",""
"51","m1 150 mm","","","","",""
"","","Line 2-1","0.77","","",""
"","","Line 2-2","0.77","","",""
"","Total Line Length","=","1.54605937676654","","",""
"52","m1 150 mm","","","","",""
"","","Line 2-1","0.77","","",""
"","","Line 2-2","0.77","","",""
"","Total Line Length","=","1.54605937676654","","",""
"53","m1 150 mm","","","","",""
"","","Line 2-1","0.77","","",""
"","","Line 2-2","0.77","","",""
"","Total Line Length","=","1.54605937676654","","",""
