"No","Column Name","Line No","Line Length","Intersection Grids","No Points","Points"
"","","Line 6-5","2.3","","",""
"","","","","C","Point 1-1","(1812.053553006, 778.604359347, 0.000000000)"
"","","Line 6-6","0.82","","",""
"","Total Line Length","=","10.8258330469225","","",""
"9","C9 700X450/250X250mm","","","","",""
"","","Line 6-1","1.48","","",""
"","","","","J","Point 1-1","(1783.049750747, 777.784618676, 0.000000000)"
"","","Line 6-2","0.82","","",""
"","","Line 6-3","2.3","","",""
"","","","","I","Point 1-1","(1785.213851053, 778.604359347, 0.000000000)"
"","","Line 6-4","1.64","","",""
"","","","","2","Point 1-1","(1785.624108916, 777.374513689, 0.000000000)"
"","","Line 6-5","3.77","","",""
"","","","","I","Point 2-1","(1785.213851053, 776.964408702, 0.000000000)"
"","","","","J","Point 2-2","(1783.049750747, 776.964408702, 0.000000000)"
"","","Line 6-6","0.82","","",""
"","","","","2","Point 1-1","(1781.851143037, 777.374513689, 0.000000000)"
"","Total Line Length","=","10.8258330469225","","",""
"10","C9 700X450/250X250mm","","","","",""
"","","Line 6-1","1.48","","",""
"","","","","J","Point 1-1","(1783.049750747, 712.167820776, 0.000000000)"
"","","Line 6-2","0.82","","",""
"","","","","12","Point 1-1","(1781.851143037, 712.577925763, 0.000000000)"
"","","Line 6-3","3.77","","",""
"","","","","I","Point 2-1","(1785.213851053, 712.988030750, 0.000000000)"
"","","","","J","Point 2-2","(1783.049750747, 712.988030750, 0.000000000)"
"","","Line 6-4","1.64","","",""
"","","","","12","Point 1-1","(1785.624108916, 712.577925763, 0.000000000)"
"","","Line 6-5","2.3","","",""
"","","","","I","Point 1-1","(1785.213851053, 711.348080105, 0.000000000)"
"","","Line 6-6","0.82","","",""
"","Total Line Length","=","10.8258330469225","","",""
"11","Cm 250x250/250X250mm","","","","",""
"","","Line 6-1","0.98","","",""
"","","","","13","Point 1-1","(1773.043189067, 705.196035999, 0.000000000)"
"","","Line 6-2","2.62","","",""
"","","","","K","Point 1-1","(1775.257755996, 705.688161983, 0.000000000)"
"","","Line 6-3","2.62","","",""
"","","","","13","Point 1-1","(1775.667860983, 705.196035999, 0.000000000)"
"","","Line 6-4","0.98","","",""
"","","","","K","Point 1-1","(1775.257755996, 703.063959371, 0.000000000)"
"","","Line 6-5","1.64","","",""
"","","Line 6-6","1.64","","",""
"","Total Line Length","=","10.4977490574211","","",""
"12","Cm 250x250/250X250mm","","","","",""
"","","Line 6-1","1.64","","",""
"","","Line 6-2","1.64","","",""
"","","Line 6-3","0.98","","",""
"","","","","L","Point 1-1","(1766.235522723, 703.063959371, 0.000000000)"
"","","Line 6-4","2.62","","",""
"","","","","13","Point 1-1","(1765.825341298, 705.196035999, 0.000000000)"
"","","Line 6-5","2.62","","",""
